Grid 0 - no_decay: mean_last100=-58.99, std=62.17, mean_length=26.9, time=0.1s
Grid 3 - with_decay: mean_last100=-106.41, std=4.82, mean_length=7.4, time=0.0s

Grid 4 - no_decay: mean_last100=-95.61, std=10.17, mean_length=6.7, time=0.0s

Grid 4 - with_decay: mean_last100=-94.75, std=9.79, mean_length=7.1, time=0.1s

Grid 0 - no_decay: mean_last100=-54.77, std=58.25, mean_length=25.6, time=0.1s

Grid 0 - with_decay: mean_last100=-62.75, std=62.52, mean_length=23.7, time=0.2s

Grid 1 - no_decay: mean_last100=-116.73, std=12.73, mean_length=19.0, time=0.1s

Grid 1 - with_decay: mean_last100=-113.43, std=22.96, mean_length=16.9, time=0.1s

Grid 2 - no_decay: mean_last100=-117.54, std=12.29, mean_length=19.8, time=0.1s

Grid 2 - with_decay: mean_last100=-116.90, std=14.33, mean_length=19.4, time=0.1s

Grid 3 - no_decay: mean_last100=-106.16, std=5.17, mean_length=7.2, time=0.1s

Grid 3 - with_decay: mean_last100=-106.10, std=5.32, mean_length=7.1, time=0.1s

Grid 4 - no_decay: mean_last100=-94.87, std=10.11, mean_length=7.0, time=0.0s

Grid 4 - with_decay: mean_last100=-95.99, std=9.92, mean_length=6.9, time=0.0s

Grid 0 - no_decay: mean_last100=-60.17, std=49.14, mean_length=25.8, time=0.2s

Grid 0 - with_decay: mean_last100=-65.55, std=44.70, mean_length=25.0, time=0.2s

Grid 1 - no_decay: mean_last100=-114.80, std=11.88, mean_length=17.3, time=0.1s

Grid 1 - with_decay: mean_last100=-111.70, std=23.86, mean_length=16.0, time=0.1s

Grid 2 - no_decay: mean_last100=-118.12, std=13.08, mean_length=22.2, time=0.1s

Grid 2 - with_decay: mean_last100=-118.48, std=14.79, mean_length=21.8, time=0.1s

Grid 3 - no_decay: mean_last100=-105.99, std=4.70, mean_length=7.0, time=0.0s

Grid 3 - with_decay: mean_last100=-105.93, std=6.02, mean_length=6.9, time=0.1s

Grid 4 - no_decay: mean_last100=-95.57, std=9.81, mean_length=6.7, time=0.1s

Grid 4 - with_decay: mean_last100=-94.76, std=9.82, mean_length=6.7, time=0.0s

Grid 0 - no_decay: mean_last100=-57.96, std=60.37, mean_length=25.2, time=0.1s

Grid 0 - with_decay: mean_last100=-58.93, std=47.68, mean_length=25.9, time=0.2s

Grid 1 - no_decay: mean_last100=-115.63, std=10.50, mean_length=18.7, time=0.1s

Grid 1 - with_decay: mean_last100=-112.83, std=10.12, mean_length=16.8, time=0.1s

Grid 2 - no_decay: mean_last100=-114.76, std=23.88, mean_length=19.2, time=0.1s

Grid 2 - with_decay: mean_last100=-118.95, std=13.90, mean_length=20.8, time=0.1s

Grid 3 - no_decay: mean_last100=-104.83, std=3.92, mean_length=5.8, time=0.1s

Grid 3 - with_decay: mean_last100=-105.51, std=4.46, mean_length=6.5, time=0.1s

Grid 4 - no_decay: mean_last100=-97.30, std=9.07, mean_length=6.3, time=0.0s

Grid 4 - with_decay: mean_last100=-94.81, std=10.67, mean_length=7.4, time=0.0s

Grid 0 - no_decay: mean_last100=-63.46, std=67.02, mean_length=24.6, time=0.2s

Grid 0 - with_decay: mean_last100=-67.93, std=35.72, mean_length=23.1, time=0.1s

Grid 1 - no_decay: mean_last100=-116.17, std=13.20, mean_length=18.6, time=0.1s

Grid 1 - with_decay: mean_last100=-113.50, std=10.09, mean_length=15.8, time=0.1s

Grid 2 - no_decay: mean_last100=-119.41, std=16.83, mean_length=22.7, time=0.1s

Grid 2 - with_decay: mean_last100=-116.76, std=11.94, mean_length=20.1, time=0.1s

Grid 3 - no_decay: mean_last100=-104.84, std=3.91, mean_length=5.8, time=0.1s

Grid 3 - with_decay: mean_last100=-106.44, std=5.00, mean_length=7.4, time=0.0s

Grid 4 - no_decay: mean_last100=-94.95, std=10.19, mean_length=7.7, time=0.1s

Grid 4 - with_decay: mean_last100=-96.78, std=9.87, mean_length=8.1, time=0.1s

Grid 0 - no_decay: mean_last100=-58.57, std=51.96, mean_length=27.4, time=0.2s

Grid 0 - with_decay: mean_last100=-63.46, std=51.70, mean_length=28.1, time=0.1s

Grid 1 - no_decay: mean_last100=-115.71, std=12.10, mean_length=18.2, time=0.1s

Grid 1 - with_decay: mean_last100=-115.67, std=11.21, mean_length=17.9, time=0.1s

Grid 2 - no_decay: mean_last100=-115.99, std=13.24, mean_length=19.3, time=0.1s

Grid 2 - with_decay: mean_last100=-117.19, std=15.05, mean_length=20.5, time=0.1s

Grid 3 - no_decay: mean_last100=-106.08, std=4.52, mean_length=7.1, time=0.0s

Grid 3 - with_decay: mean_last100=-105.60, std=3.77, mean_length=6.6, time=0.1s

Grid 4 - no_decay: mean_last100=-94.48, std=10.39, mean_length=7.5, time=0.1s

Grid 4 - with_decay: mean_last100=-95.54, std=9.85, mean_length=6.8, time=0.1s

Grid 0 - no_decay: mean_last100=-64.20, std=50.79, mean_length=23.0, time=0.1s

Grid 0 - with_decay: mean_last100=-61.88, std=55.01, mean_length=22.7, time=0.1s

Grid 1 - no_decay: mean_last100=-112.79, std=23.95, mean_length=17.3, time=0.1s

Grid 1 - with_decay: mean_last100=-114.89, std=12.51, mean_length=18.4, time=0.1s

Grid 2 - no_decay: mean_last100=-116.75, std=10.02, mean_length=19.2, time=0.1s

Grid 2 - with_decay: mean_last100=-117.90, std=13.96, mean_length=20.4, time=0.1s

Grid 3 - no_decay: mean_last100=-106.38, std=5.64, mean_length=7.4, time=0.0s

Grid 3 - with_decay: mean_last100=-105.89, std=4.32, mean_length=6.9, time=0.0s

Grid 4 - no_decay: mean_last100=-94.01, std=10.88, mean_length=7.2, time=0.0s

Grid 4 - with_decay: mean_last100=-94.75, std=10.16, mean_length=7.1, time=0.0s

Grid 0 - no_decay: mean_last100=-61.69, std=45.85, mean_length=22.6, time=0.1s

Grid 0 - with_decay: mean_last100=-66.41, std=47.37, mean_length=24.8, time=0.1s

Grid 1 - no_decay: mean_last100=-113.55, std=10.18, mean_length=15.6, time=0.1s

Grid 1 - with_decay: mean_last100=-116.02, std=13.07, mean_length=18.1, time=0.1s

Grid 2 - no_decay: mean_last100=-117.82, std=12.59, mean_length=20.3, time=0.1s

Grid 2 - with_decay: mean_last100=-118.03, std=13.64, mean_length=21.3, time=0.1s

Grid 3 - no_decay: mean_last100=-106.27, std=4.92, mean_length=7.3, time=0.0s

Grid 3 - with_decay: mean_last100=-105.92, std=5.03, mean_length=6.9, time=0.0s

Grid 4 - no_decay: mean_last100=-93.72, std=9.84, mean_length=6.7, time=0.1s

Grid 4 - with_decay: mean_last100=-94.42, std=9.87, mean_length=6.5, time=0.1s

Grid 0 - no_decay: mean_last100=-66.06, std=29.69, mean_length=21.2, time=0.1s

Grid 0 - with_decay: mean_last100=-65.48, std=44.91, mean_length=23.5, time=0.1s

Grid 1 - no_decay: mean_last100=-109.70, std=22.64, mean_length=15.4, time=0.1s

Grid 1 - with_decay: mean_last100=-114.76, std=12.08, mean_length=16.8, time=0.1s

Grid 2 - no_decay: mean_last100=-116.12, std=13.13, mean_length=20.6, time=0.1s

Grid 2 - with_decay: mean_last100=-118.01, std=23.43, mean_length=23.1, time=0.1s

Grid 3 - no_decay: mean_last100=-106.33, std=4.94, mean_length=7.3, time=0.1s

Grid 3 - with_decay: mean_last100=-105.98, std=5.17, mean_length=7.0, time=0.0s

Grid 4 - no_decay: mean_last100=-95.29, std=10.62, mean_length=7.0, time=0.1s

Grid 4 - with_decay: mean_last100=-95.11, std=10.50, mean_length=6.4, time=0.1s

Grid 0 - no_decay: mean_last100=-62.76, std=46.70, mean_length=27.4, time=0.1s

Grid 0 - with_decay: mean_last100=-64.43, std=37.26, mean_length=23.6, time=0.1s

Grid 1 - no_decay: mean_last100=-113.54, std=9.38, mean_length=15.6, time=0.1s

Grid 1 - with_decay: mean_last100=-115.65, std=12.13, mean_length=17.5, time=0.1s

Grid 2 - no_decay: mean_last100=-118.28, std=14.65, mean_length=20.3, time=0.1s

Grid 2 - with_decay: mean_last100=-116.93, std=13.64, mean_length=21.3, time=0.1s

Grid 3 - no_decay: mean_last100=-106.29, std=4.41, mean_length=7.3, time=0.1s

Grid 3 - with_decay: mean_last100=-105.67, std=3.94, mean_length=6.9, time=0.1s

Grid 4 - no_decay: mean_last100=-95.72, std=9.87, mean_length=6.8, time=0.1s

Grid 4 - with_decay: mean_last100=-93.00, std=10.10, mean_length=7.2, time=0.1s

